Barrio,Título,Precio (US$),Link
Caballito,Departamento En Venta 2 Amb  Caballito / Primera Junta,42000.0,https://departamento.mercadolibre.com.ar/MLA-1470467611-departamento-en-venta-2-amb-caballito-primera-junta-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=e206af31-4ad4-456b-b180-d8d763c751b0
Caballito,"Departamento  En Venta En Caballito, Capital Federal, Buenos Aires",120000.0,https://departamento.mercadolibre.com.ar/MLA-1464463853-departamento-en-venta-en-caballito-capital-federal-buenos-aires-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=abee8f5e-a941-42f3-86bc-ea3c47883600
Caballito,Hermoso 3 Amb Ubicado En El Corazón De Caballito,120000.0,https://departamento.mercadolibre.com.ar/MLA-1463417563-hermoso-3-amb-ubicado-en-el-corazon-de-caballito-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=98809125-f293-42fa-a7c2-22e76a1e476c
Caballito,"Departamento 2 Ambientes - Av. Honorio Pueyrredón 900, Caballito, Caba.",120000.0,https://departamento.mercadolibre.com.ar/MLA-1464173943-departamento-2-ambientes-av-honorio-pueyrredon-900-caballito-caba-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=a1d0f00b-6c3d-4ad5-b173-f13d794d62b4
Caballito,"Departamento 2 Ambientes Al Frente En Caballito, Con Cochera Amplia Y Baulera. Totalmente Amueblado. Oportunidad.",120000.0,https://departamento.mercadolibre.com.ar/MLA-1910614298-departamento-2-ambientes-al-frente-en-caballito-con-cochera-amplia-y-baulera-totalmente-amueblado-oportunidad-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=f7ca33eb-0ebd-4987-b9ae-d2bee2a44329
Coghlan,"Departamento  En Venta En Coghlan, Capital Federal, Buenos Aires",69000.0,https://departamento.mercadolibre.com.ar/MLA-1460710323-departamento-en-venta-en-coghlan-capital-federal-buenos-aires-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=206f4c2a-a58d-4c16-8965-e213c02f3350
Coghlan,Departamento 3 Ambientes En Venta. Coghlan,120000.0,https://departamento.mercadolibre.com.ar/MLA-1931245274-departamento-3-ambientes-en-venta-coghlan-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab
Colegiales,Departamento En Venta 3 Ambientes Con Balcón En Colegiales,120000.0,https://departamento.mercadolibre.com.ar/MLA-1463806233-departamento-en-venta-3-ambientes-con-balcon-en-colegiales-_JM#polycard_client=search-nordic&position=49&search_layout=grid&type=item&tracking_id=e8c88ea6-86c4-4ce8-8f2b-59ccd3042ae1
Colegiales,Venta - Departamento - 3 Ambientes - Colegiales,120000.0,https://departamento.mercadolibre.com.ar/MLA-1455680257-venta-departamento-3-ambientes-colegiales-_JM#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=abee8f5e-a941-42f3-86bc-ea3c47883600
Colegiales,Semipiso 3 Ambientes Con Doble Balcón En Piso Alto! Zona Colegiales!,120000.0,https://departamento.mercadolibre.com.ar/MLA-1935134012-semipiso-3-ambientes-con-doble-balcon-en-piso-alto-zona-colegiales-_JM#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=abee8f5e-a941-42f3-86bc-ea3c47883600
Colegiales,Departamento/ 2 Amb/ Apto Profesional/ Apto Credito.,69000.0,https://departamento.mercadolibre.com.ar/MLA-1955499628-departamento-2-amb-apto-profesional-apto-credito-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=35146259-0b3e-47ac-912b-44748c786f02
Colegiales,2 Ambientes Al Frente Con Balcon,120000.0,https://departamento.mercadolibre.com.ar/MLA-1988615780-2-ambientes-al-frente-con-balcon-_JM#polycard_client=search-nordic&position=50&search_layout=grid&type=item&tracking_id=e8c88ea6-86c4-4ce8-8f2b-59ccd3042ae1
Las Cañitas,Hermoso 2 Ambienes Con Vista Al Rio,119000.0,https://departamento.mercadolibre.com.ar/MLA-1971083734-hermoso-2-ambienes-con-vista-al-rio-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=98809125-f293-42fa-a7c2-22e76a1e476c
Las Cañitas,Venta 2 Ambientes Las Cañitas,72000.0,https://departamento.mercadolibre.com.ar/MLA-1454088343-venta-2-ambientes-las-canitas-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=e206af31-4ad4-456b-b180-d8d763c751b0
No especificado,En Venta  |  2 Amb Lateral Luminoso 34m² Coghlan,65000.0,https://departamento.mercadolibre.com.ar/MLA-1944725910-en-venta-2-amb-lateral-luminoso-34m-coghlan-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=f7ca33eb-0ebd-4987-b9ae-d2bee2a44329
No especificado,Cucha Cucha 1100  8° Caballito 2amb U$ 65.000,65000.0,https://departamento.mercadolibre.com.ar/MLA-1466796367-cucha-cucha-1100-8-caballito-2amb-u-65000-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=35146259-0b3e-47ac-912b-44748c786f02
